id,mz,rt,intensity,KEGGId,exactMass,formula,name,precursorType,ppm,inferLevel,forward,reverse,jaccard,parentTrace,inferSize,score1,score2,pvalue,seed,partnerKEGGId,KEGG_reaction,reaction
M181T283,180.984420776367,282.917226,5589763.290367,C02625,161.9639,C6H4Cl2O,"2,4-Dichlorophenol",[M+H+H2O]+,12,Ms1,0.411943438991604,0.416097411915596,0.111111111111111,4.81980563279535E-07,12,0,0,0.00166115861607796,M220T230: C03664,C03664,RC01372,O1a-O2a:*-C1b:C8y-C8y
M217T87,217.014665777642,86.646582,28537686.85706,C03356,216.0035,C4H9O8P,3-Phospho-D-erythronate,[M+H]+,15,Ms2,0.998892437146476,0.998892437146476,1,0.992665980498512,13,0,0,0.000353041813977883,M217T63: C04309,C04309,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M208T678,208.039606002318,678.2211,2738102.299164,C17210,208.0405,C7H12O5S,2-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.997032412130035,0.998324855006439,1,0.861199629331539,13,0,0,0.000303195175004323,M208T655: C17212,C17212,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M208T678,208.039606002318,678.2211,2738102.299164,C17212,208.0405,C7H12O5S,3-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.997032412130035,0.998324855006439,1,0.861199629331539,13,0,0,0.000303195175004323,M208T655: C17210,C17210,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M224T1033,224.076324462891,1033.42434,10603620.0139,C05651,224.0797,C10H12N2O4,5-Hydroxykynurenine,[M]+,15,Ms1,0.268392506686014,0.247681575236853,0,5.96046447753906E-08,13,0,0,0.00286923447716836,M252T1022: C05648,C05648,RC00263,N1a-N1b:*-C4a:C8y-C8y
M164T726,164.067065515116,726.46902,3650205.846512,C20651,163.0593,C4H9N3O4,O-Ureido-D-serine,[M+H]+,0,Ms2,0.999689235779175,0.998849712928676,1,0.98855747487369,13,0,0,0.000271389757771967,M164T590: C20639,C20639,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M217T87,217.014665777642,86.646582,28537686.85706,C04309,197.9929,C4H7O7P,Phosphoenol-4-deoxy-3-tetrulosonate,[M+H+H2O]+,16,Ms2,0.998892437146476,0.998892437146476,1,0.992665980498512,13,0,0,0.000354113803791911,M217T63: C03356,C03356,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M227T201,226.951736450195,201.36528,8033851.157074,C12835,225.9436,C6H4Cl2O5,"2,5-Dichloro-4-oxohex-2-enedioate",[M+H]+,1,Ms1,0.282168800214286,0.410027539656334,0,0.0166439954496667,13,0,0,0.00182194883594367,M227T682: C12834,C12834,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M163T226,162.973754882813,225.902778,4307244.99762,C02625,161.9639,C6H4Cl2O,"2,4-Dichlorophenol",[M+H]+,12,Ms1,0.151096303073293,0.0797867344253908,0,1.20495140819884E-07,13,0,0,0.00340986956006595,M220T253: C03664,C03664,RC01372,O1a-O2a:*-C1b:C8y-C8y
M164T726,164.067065515116,726.46902,3650205.846512,C20639,163.0593,C4H9N3O4,O-Ureido-L-serine,[M+H]+,0,Ms2,0.999689235779175,0.998849712928676,1,0.98855747487369,13,0,0,0.000271389757771967,M164T590: C20651,C20651,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M227T201,226.951736450195,201.36528,8033851.157074,C12834,207.933,C6H2Cl2O4,"2,5-Dichloro-carboxymethylenebut-2-en-4-olide",[M+H+H2O]+,2,Ms1,0.282168800214286,0.410027539656334,0,0.0166439954496667,13,0,0,0.00183398500878051,M227T682: C12835,C12835,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
