xcms_id,mz,rt,rtmin,rtmax,maxInto,nticks,baseline,noise,area,integration,snRatio
M263T370_1,263.1422,370.33,363.12,377.61,2440000,13,79700,1040000,5399277.3984375,70.06,-9.6017
M263T370_2,263.1422,370.33,363.12,377.61,2440000,13,79700,1040000,5399277.3984375,70.21,-9.5997
M263T370_3,263.1422,370.33,363.12,381.22,2440000,16,79700,1280000,5673557.5390625,67,-9.8541
M263T370_4,263.1422,370.33,365.54,383.66,2440000,16,79700,1280000,5667210.6015625,66.83,-9.8567
M263T434,263.1678,434.34,433.16,440.31,550000,6,100000,603000,1245034.08007813,100,-8.704
M105T65,104.5501,64.55,57.34,64.55,339000,7,66600,466000,939285.171875,100,-8.4468
M105T65_1,105.003,64.55,57.34,71.76,27500000,13,110000,1430000,146015337.4375,100,-9.5656
M105T1047,105.0334,1047.18,1041.08,1048.38,520000,7,42500,298000,1786887.9765625,81.63,-8.2012
M105T72,105.11,71.76,70.55,77.69,959000,6,58800,353000,2469277.22265625,80.01,-8.3907
M480T779,480.3134,779.09,771.82,786.33,458000,10,99200,992000,2370051.51757813,68.79,-9.5766
M480T798,480.3304,798.4,791.16,803.23,304000,9,56200,505000,1127276.6484375,56.17,-9.1048
M264T236,264.1429,236,228.74,242.02,371000,12,73900,887000,2279532.9765625,48.88,-9.8064
M264T236_1,264.1429,236,228.74,243.23,371000,13,73900,961000,2353462.5703125,49.69,-9.8699
M264T236_2,264.1429,236,232.37,249.29,371000,15,73900,1110000,2321625.31835938,37.45,-10.2958
M264T756,264.1429,756.06,750.01,759.69,496000,9,73900,665000,1702722.1328125,32.86,-9.9158
M481T779,481.3155,779.09,777.87,785.12,134000,7,45400,317000,666528.5546875,61.19,-8.5541
M482T829,482.3283,829.11,811.75,831.52,618000,6,98500,591000,1464974,57.03,-9.2461
M482T796,482.3463,795.98,788.75,803.23,276000,12,65200,782000,1662323.25390625,60.45,-9.4684
M265T457,265.1042,457.27,452.44,471.83,3020000,13,76800,998000,8798141.4765625,98.18,-9.2265
M265T75,265.1113,75.28,72.94,82.46,5550000,9,128000,1150000,16273228.71875,99.59,-9.3579
M265T75_1,265.1113,75.28,72.94,82.46,5550000,9,128000,1150000,16273228.71875,96.88,-9.3854
M265T75_2,265.1113,75.28,72.94,82.46,5550000,9,128000,1150000,16273228.71875,100,-9.3537
M265T352,265.1541,352.17,343.71,357.01,997000,7,92300,646000,2753089.81640625,12.85,-10.8246
M265T378,265.1541,377.61,372.73,389.68,6550000,12,92300,1110000,15500955.5117188,84.56,-9.4798
M106T1044,106.0231,1043.58,1041.08,1048.38,501000,6,80800,485000,1072897.515625,80.91,-8.6984
M106T1044_1,106.0231,1043.58,1041.08,1048.38,501000,6,80800,485000,1072897.515625,80.91,-8.6984
M106T1044_2,106.0497,1043.58,1041.08,1048.38,282000,7,44800,314000,913415.4765625,11.1,-10.249
M106T71,106.0497,70.55,63.35,77.69,1210000,11,44800,493000,4558629.26953125,86.31,-8.6502
M106T71_1,106.0497,70.55,63.35,77.69,1210000,11,44800,493000,4558629.26953125,87.24,-8.6394
M106T71_2,106.0497,70.55,66.94,82.46,1210000,13,44800,583000,4441532.38867188,75.32,-8.9535
M266T456,266.107,456.07,454.85,473.06,298000,7,54500,382000,806931.38671875,95.12,-8.2969
M266T378,266.1576,377.61,376.38,382.46,758000,6,54500,327000,1577923.1875,98.87,-8.1044
M266T378_1,266.1576,377.61,376.38,382.46,758000,6,54500,327000,1577923.1875,92.86,-8.1672
M751T469,751.3711,469.37,460.96,473.06,509000,7,56300,394000,1392580.30664063,100,-8.2798
M267T434,267.1198,434.34,433.16,441.53,5200000,8,76200,609000,11233289.125,95.89,-8.7568
M267T332,267.1333,331.6,327.98,338.86,2040000,10,89100,891000,5349763.36328125,84.26,-9.2657
M267T264,267.1498,263.78,261.36,267.4,2450000,6,85600,513000,5436842.2421875,100,-8.5437
M485T863,485.3248,863.17,854.66,864.38,246000,7,54200,380000,786326.6875,37.04,-9.235
M485T576,485.3465,576.3,573.86,579.91,337000,6,58600,352000,915360.6484375,71.02,-8.5074
M485T312,485.3569,312.31,311.07,317.17,2990000,6,343000,2060000,7925773.078125,100,-9.9333
M485T312_1,485.3569,312.31,311.07,317.17,2990000,6,343000,2060000,7925773.078125,100,-9.9333
M486T689,486.305,689.35,685.71,692.94,325000,7,59000,413000,1013488.34375,87.42,-8.4614
M486T689_1,486.305,689.35,685.71,692.94,325000,7,59000,413000,1013488.34375,97.81,-8.349
M268T240,268.1034,239.6,238.39,245.66,4520000,7,314000,2200000,8386915.82617188,100,-9.9989
M268T240_1,268.1034,239.6,238.39,245.66,4520000,7,314000,2200000,8386915.82617188,94.69,-10.0534
M108T65,108.0474,64.55,57.34,64.55,122000,6,37600,225000,557109.125,88.24,-7.8454
M269T25,269.054,24.55,17.23,31.88,2230000,13,248000,3220000,20741764.5,65.63,-10.8015
M269T120,269.054,120.23,109.23,123.93,716000,13,248000,3220000,6522208.828125,3.28,-13.7982
M269T171,269.054,171.45,164.12,178.82,1160000,13,248000,3220000,11512146,21.03,-11.9399
M269T234,269.0877,233.57,229.95,238.39,2720000,8,122000,975000,7128405.46875,98.91,-9.1963
M269T249,269.1128,249.29,246.87,252.95,788000,6,53300,320000,2102789.1484375,97.52,-8.0956
M269T534,269.1353,533.85,532.64,541.14,452000,6,59600,357000,1244519.71289063,54.33,-8.7913
M270T73,270.1182,72.94,71.76,86.07,556000,9,69900,629000,1849694.828125,87.02,-8.8858
M110T1048,109.5215,1048.38,1042.27,1048.38,2130000,6,40100,241000,4136154.2265625,98.61,-7.8001
M110T63,110.0083,63.35,56.13,70.55,31400000,13,112000,1460000,174454123.757813,100,-9.5888
M271T281,270.6603,280.77,269.82,285.61,869000,6,34200,205000,1455848.3203125,100,-7.6273
M271T1001,271.2265,1000.69,998.26,1004.33,414000,6,58500,351000,955544.24609375,97.85,-8.1859
M271T1001_1,271.2265,1000.69,998.26,1004.33,414000,6,58500,351000,955544.24609375,97.85,-8.1859
M490T78,490.1751,77.69,72.94,81.3,548000,8,40500,324000,1968842.4453125,90.92,-8.1776
M490T829,490.3513,829.11,824.23,832.75,858000,8,56400,451000,2926967.0859375,97.31,-8.4416
M111T1048,111.0201,1048.38,1039.87,1048.38,693000,8,57100,457000,3063553.203125,54.14,-9.04
M111T1047,111.039,1047.18,1039.87,1048.38,1180000,8,73500,588000,4883421.90234375,47.58,-9.4214
M111T63,111.0601,63.35,57.34,65.74,533000,8,40300,322000,1919716.078125,100,-8.0786
M111T903,111.1164,903.27,896,910.53,5590000,13,342000,4450000,22131343.75,68.97,-11.0742
M491T576,491.3212,576.3,559.36,578.7,392000,9,52500,472000,1418277.17578125,90.04,-8.5656
M491T734,491.3359,734.2,726.95,735.41,213000,8,56000,448000,925994.81640625,35.03,-9.4561
M491T829,491.3553,829.11,825.43,836.39,222000,6,51100,307000,770340.76953125,79.6,-8.2567
M273T677,273.1479,677.16,673.51,682.09,394000,8,63200,505000,1245903.05859375,99.85,-8.5294
M112T1047,112.0178,1047.18,1042.27,1048.38,279000,6,37700,226000,874540.09375,63.2,-8.1823
M112T7,112.0278,7.49,0.34,14.79,2490000,13,784000,10200000,25879077.25,43.75,-12.3582
M112T78,112.0503,77.69,75.28,90.9,4570000,14,221000,3100000,12930651.9042969,93.19,-10.4118
M112T78_1,112.0503,77.69,75.28,90.9,4570000,14,221000,3100000,12930651.9042969,93.19,-10.4118
M112T885,112.12,885.12,877.72,892.4,247000,10,36900,369000,1001241.97265625,57.2,-8.7722
M112T903,112.12,903.27,891.19,909.31,263000,16,36900,590000,1297158.5546875,42.85,-9.5309
M112T903_1,112.12,903.27,898.42,912.95,263000,11,36900,406000,918117.146484375,35.99,-9.3306
M112T903_2,112.12,903.27,902.05,912.95,263000,8,36900,295000,756914.9140625,26.75,-9.309
M274T324,274.1757,324.37,317.17,329.2,2710000,9,125000,1120000,6155215.05078125,93.53,-9.3931
M274T324_1,274.1757,324.37,317.17,329.2,2710000,9,125000,1120000,6155215.05078125,93.53,-9.3931
M274T769,274.2734,769.39,753.64,770.6,9130000,15,129000,1940000,23938508.59375,78.16,-10.1179
M274T769_1,274.2734,769.39,762.1,776.67,9130000,13,129000,1680000,27794187.6640625,97.74,-9.7513
M274T769_2,274.2734,769.39,768.17,776.67,9130000,8,129000,1030000,26684495.40625,77.12,-9.5027
M275T242,275.0744,242.02,240.81,249.29,1520000,8,126000,1010000,4101989.32226563,100,-9.2174
M275T249,275.1234,249.29,245.66,252.95,811000,7,52000,364000,1987493.40234375,100,-8.1998
M275T410,275.1388,410.19,407.78,413.8,1030000,6,133000,798000,2583483.2265625,72.32,-9.3082
M275T769,275.2768,769.39,764.53,774.23,1330000,9,80200,722000,3756635.28515625,100,-8.8843
M275T769_1,275.2768,769.39,764.53,774.23,1330000,9,80200,722000,3756635.28515625,100,-8.8843
M113T108,113.0344,108.01,96.99,116.57,218000,17,56900,967000,2029911.5546875,14.54,-11.105
M113T125,113.0344,125.13,120.23,134.86,1610000,13,56900,739000,4443991.29492188,52.33,-9.5557
M494T638,494.31,638.33,631,640.77,967000,9,141000,1270000,3841776.78125,37.66,-10.4282
